N        | Sparsity   | Structure    | Op         | Time (s)   | Mem (Bytes)
1000000  | 1e-10      | Hash+Lista   | Create     | 0.000383   | 122545    
1000000  | 1e-10      | Hash+Lista   | Sum        | 0.000813   | -         
1000000  | 1e-10      | Hash+Lista   | Escalar    | 0.000427   | -         
1000000  | 1e-10      | Hash+Lista   | Transp     | 0.000013   | -         
1000000  | 1e-10      | Hash+Lista   | Mult       | 0.002641   | -         
1000000  | 1e-10      | BinTree      | Create     | 0.004060   | 30510     
1000000  | 1e-10      | BinTree      | Sum        | 0.005894   | -         
1000000  | 1e-10      | BinTree      | Escalar    | 0.000107   | -         
1000000  | 1e-10      | BinTree      | Transp     | 0.000002   | -         
1000000  | 1e-10      | BinTree      | Mult       | 0.002328   | -         
1000000  | 1e-09      | Hash+Lista   | Create     | 0.008289   | 490717    
1000000  | 1e-09      | Hash+Lista   | Sum        | 0.006675   | -         
1000000  | 1e-09      | Hash+Lista   | Escalar    | 0.002696   | -         
1000000  | 1e-09      | Hash+Lista   | Transp     | 0.000003   | -         
1000000  | 1e-09      | Hash+Lista   | Mult       | 0.005009   | -         
1000000  | 1e-09      | BinTree      | Create     | 0.024399   | 297022    
1000000  | 1e-09      | BinTree      | Sum        | 0.027967   | -         
1000000  | 1e-09      | BinTree      | Escalar    | 0.000397   | -         
1000000  | 1e-09      | BinTree      | Transp     | 0.000001   | -         
1000000  | 1e-09      | BinTree      | Mult       | 0.085161   | -         
1000000  | 1e-08      | Hash+Lista   | Create     | 0.047234   | 3739273   
1000000  | 1e-08      | Hash+Lista   | Sum        | 0.082534   | -         
1000000  | 1e-08      | Hash+Lista   | Escalar    | 0.054129   | -         
1000000  | 1e-08      | Hash+Lista   | Transp     | 0.000004   | -         
1000000  | 1e-08      | Hash+Lista   | Mult       | 0.069201   | -         
1000000  | 1e-08      | BinTree      | Create     | 0.356547   | 2961134   
1000000  | 1e-08      | BinTree      | Sum        | 0.420941   | -         
1000000  | 1e-08      | BinTree      | Escalar    | 0.005496   | -         
1000000  | 1e-08      | BinTree      | Transp     | 0.000003   | -         
1000000  | 1e-08      | BinTree      | Mult       | 25.071318  | -         
